t,rainfall,action_s,action_e,action_h,action_p,flood_depth,flow,displaced,vulnerable,infected,contamination,healthcare,damage,failures,econ_loss,deaths,shelter_pressure,sanitation,personnel
0,0.1654333759164529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.19568625479460505,0.0,0.0,0.0,0.0,0.13234670073316232,0.0,0.1,1.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2668786446419557,0.0,0.0,0.0,0.0,0.24919169434889765,0.07940802043989739,0.2594080204398974,1.0196,0.030199999999999998,0.06617335036658116,0.004,0.05293868029326493,0.0,0.026000000000000002,0.044469340146632466,0.1,0.0,0.0
3,1.7152630746824247,1.0,0.0,0.0,0.0,0.3852987258700183,0.18226761574321304,0.48880464113721545,0.9866957212601832,0.07760010248483676,0.25723853768766247,0.010015840000000002,0.16849696212080345,0.03176320817595896,0.10811707620528546,0.1422803535703619,0.3594080204398974,0.0,0.0
4,0.1802833615858628,1.0,0.0,0.0,0.0,1.62893523489133,0.2935020903373591,0.8423790506098408,0.863542089384505,0.19214050418841092,0.46622795610717316,0.02525316037048217,0.35906997561745335,0.12965018299752518,0.3092621032968845,0.33489359677869246,0.8482126615771128,1.0,0.0
5,0.18948159449101262,1.0,0.0,1.0,0.0,1.1675010066776532,1.0696461972752165,2.044496476591658,0.5237294904139805,0.4681028909528846,1.4066631924695765,0.06140119946965776,1.069344487641457,0.3171600755393653,0.7308681281213674,0.9047029603197676,1.6905917121869536,1.8,0.0
6,0.2689638652452727,1.0,0.0,1.0,0.0,0.7191438271058472,1.0839256266846715,3.2680005231884115,0.16311612974295908,0.4437423108634798,2.062070981353141,0.7414837582394885,1.7502741297675617,0.7552747410374585,1.8348001159978933,1.6881213877155814,3.7350881887786116,2.44,0.0
7,0.20211007751484317,1.0,0.0,0.0,0.0,0.4668320039372311,0.5957343545176486,4.649216037297249,0.08255765949360108,0.1107491192470727,2.9997256606193172,1.1404170957472743,2.254716785946835,1.0122765148351407,3.6237424622166277,2.634181837857036,7.003088711967023,2.952,0.0
8,0.2711351420316186,1.0,0.0,0.0,0.0,0.27795567366904156,0.0,6.059668012669323,0.06567524927421199,0.09451721579167571,4.310943468358254,0.6755399045544404,2.560596458425257,0.9956684763921104,5.8936077257629895,3.913475449635505,11.652304749264271,3.3616,0.0
9,2.695109676722922,1.0,0.0,0.0,0.0,0.2691306224743931,0.0,7.248266775227304,0.06524581523222622,0.08484093366339775,6.080197965752857,0.41262780252192693,2.6717787278928737,1.002323246798079,8.556402466961304,5.7628278628964305,17.711972761933595,3.68928,0.0
10,0.13415332367607014,1.0,0.0,0.0,0.0,2.2006676826800824,0.0,8.264552978481051,0.05590255720446602,0.09491288814068395,8.555243779957074,0.25715986815314545,2.779430976882631,0.9985989259732274,11.501148891982165,8.336701518588157,24.9602395371609,3.9514240000000003,0.0
11,0.2888125897874675,1.0,0.0,1.0,0.0,0.4244692514038064,0.48657131654326014,10.298860934106404,0.0,0.3823822310245573,12.474145144645718,0.1685410613647646,3.659698049954664,1.000935439103778,14.693745315262923,12.129513453366545,33.22479251564195,4.1611392,0.0
12,0.2772743077504148,1.0,0.0,0.0,0.0,0.21749268948699318,0.0,11.390150391562472,0.05,0.02993444484840818,15.453643486071833,0.764648597651232,3.9268000138248387,0.9988813843054095,18.732485567014947,16.697664833301715,43.52365344974835,4.32891136,0.0
13,0.14509578082027577,1.0,0.0,0.0,0.0,0.20325426962436186,0.0,12.298024765820323,0.028033382173205543,0.08166124929116012,19.481607731555258,0.46054032047433185,4.0137970896196355,1.0015169323803992,22.989768538034063,22.239329116424354,54.91380384131082,4.4631290880000005,0.0
14,0.17446756120948415,1.0,0.0,0.0,0.0,0.09519033421906825,0.0,13.069560787630897,0.032597938344575,0.07957282719402765,24.074047216146333,0.28485533914921135,4.09509879746938,0.9978637371162415,27.479997474785492,29.02352749930091,67.21182860713114,4.570503270400001,0.0
15,0.08059815735076646,1.0,0.0,0.0,0.0,0.12824451828269212,0.0,13.66854035138753,0.04603540957704269,0.0724252554019549,28.97987600869668,0.18253783034815502,4.133174931157008,1.0031126616560562,32.15496649430413,37.09547704608349,80.28138939476203,4.65640261632,0.0
16,2.4354642846542847,1.0,0.0,0.0,0.0,0.04823828307363173,0.0,14.193551547767477,0.02467905639328129,0.1049180962947709,34.243265482624665,0.12113640809046546,4.184472738470085,0.9953935565804651,36.96491717832745,46.54061716992253,93.94992974614956,4.725122093056,0.0
17,0.27615443126314415,1.0,0.0,0.0,0.0,1.941767869780527,0.0,14.59170398508849,0.05169450958310764,0.07340442893193617,39.696327409231685,0.0913467870514316,4.203768051699537,1.0069588787266743,41.90704943478959,57.40204572344508,108.14348129391703,4.7800976744448,0.0
18,0.11613902207582268,1.0,0.0,1.0,0.0,0.0,0.0,16.064860068194836,0.0,1.2528418516726918,46.33016047830685,0.06789363778432578,4.980475199611748,0.9894067714865673,46.93170233265735,70.09082198804921,122.73518527900552,4.82407813955584,0.0
19,0.2890116813222945,1.0,0.0,0.0,0.0,0.09291121766065814,0.0,16.53381723721486,0.05,0.11569661165921175,51.58431171140809,0.8745802399572948,4.980475199611748,1.0210623586235503,52.908479690237456,84.44010241592734,138.80004534720035,4.859262511644672,0.0
20,2.918200754443734,1.0,0.0,0.0,0.0,0.20369879435536892,0.0,16.98372305530946,0.006251643270638832,0.13103645844734935,58.05671134751635,0.5202819831651668,5.017639686676011,0.9581220257615977,58.65056714447231,100.01675838855562,155.33386258441521,4.8874100093157375,0.0
21,0.1694492762666027,1.0,0.0,0.0,0.0,2.2727323286666343,0.0,17.394654748323354,0.03133718186886525,0.0788237356333139,64.74421427428177,0.33345664209006287,5.099119204418159,1.0841991770833195,64.47692737804346,117.32373359395078,172.31758563972468,4.90992800745259,0.0
22,0.023550307413625318,1.0,0.0,1.0,0.0,0.0,0.0,19.08935422475955,0.0,1.4319029684597682,72.61296002243228,0.19935116279766446,6.008212135884813,0.8265941925662637,70.4528328009987,136.77314903245835,189.71224038804803,4.927942405962073,0.0
23,0.14387319186135972,1.0,0.0,0.0,0.0,0.018840245930900255,0.0,19.472367176878286,0.05,0.1051558316875858,78.88900222316161,0.9627284467544892,6.008212135884813,1.4517095185600315,77.43419706786898,158.13086769837426,208.80159461280758,4.942353924769658,0.0
24,0.2211530452343332,1.0,0.0,0.0,0.0,0.10564748679170008,0.0,20.165150881728074,0.055801005113182166,0.07572185335848097,86.53416403603089,0.40447149101365065,6.015748234257173,0.0,84.34418591452885,180.98346246764368,228.27396178968587,4.953883139815726,0.0
